method,indicator,unit,producing_sector_group,value
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Minerals and Metals,18.523238830825832
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Natural gas and gaseous fuels,20.73744429878481
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Non-metallic mineral products,13.87244625785839
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Paper Products,4.363283404093727
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Services,32.3489614369971
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,"Steam, hot water supply and water distribution",62.858844749747576
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Textile,3.328242515360638
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Transport,152.85716182727234
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Transport Equipment,0.714855442826223
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Waste management and disposal,33.217466687861986
ECOINDICATOR 99 (H.A),Respiratory effects on humans caused by inorganic substances (H.A),DALY,Chemical,18082921.1335111
ECOINDICATOR 99 (H.A),Respiratory effects on humans caused by inorganic substances (H.A),DALY,Coal and Petroleum,7242862.19067349
ECOINDICATOR 99 (H.A),Respiratory effects on humans caused by inorganic substances (H.A),DALY,Construction,23525.325426369578
