year,using_industry,product,origin,unit,value
2016,Q86,CPA_C17,MK,MIO_EUR,0.001
2016,Q86,CPA_C17,AL,MIO_EUR,0.0
2016,Q86,CPA_C17,ME,MIO_EUR,0.0
2016,Q86,CPA_C18,AL,MIO_EUR,0.0
2016,Q86,CPA_C18,AR,MIO_EUR,0.0
2016,Q86,CPA_C18,AT,MIO_EUR,0.0
2016,Q86,CPA_C18,AU,MIO_EUR,0.0
2016,Q86,CPA_C18,BE,MIO_EUR,0.0
2016,Q86,CPA_C18,BG,MIO_EUR,0.0
2016,Q86,CPA_C18,BR,MIO_EUR,0.0
2016,Q86,CPA_C18,CA,MIO_EUR,0.0
2016,Q86,CPA_C18,CH,MIO_EUR,0.0
2016,Q86,CPA_C18,CN,MIO_EUR,0.0
2016,Q86,CPA_C18,CY,MIO_EUR,0.0
2016,Q86,CPA_C18,CZ,MIO_EUR,0.0
2016,Q86,CPA_C18,DE,MIO_EUR,0.0
2016,Q86,CPA_C18,DK,MIO_EUR,0.0
2016,Q86,CPA_C18,EE,MIO_EUR,0.0
2016,Q86,CPA_C18,EL,MIO_EUR,0.0
2016,Q86,CPA_C18,ES,MIO_EUR,0.0
2016,Q86,CPA_C18,FI,MIO_EUR,0.0
2016,Q86,CPA_C18,FR,MIO_EUR,0.0
2016,Q86,CPA_C18,HR,MIO_EUR,0.0
2016,Q86,CPA_C18,HU,MIO_EUR,0.0
2016,Q86,CPA_C18,ID,MIO_EUR,0.0
2016,Q86,CPA_C18,IE,MIO_EUR,0.0
2016,Q86,CPA_C18,IN,MIO_EUR,0.0
2016,Q86,CPA_C18,IT,MIO_EUR,0.0
2016,Q86,CPA_C18,JP,MIO_EUR,0.0
2016,Q86,CPA_C18,KR,MIO_EUR,0.0
2016,Q86,CPA_C18,LT,MIO_EUR,0.0
2016,Q86,CPA_C18,LU,MIO_EUR,0.0
2016,Q86,CPA_C18,LV,MIO_EUR,0.0
2016,Q86,CPA_C18,ME,MIO_EUR,0.0
2016,Q86,CPA_C18,MK,MIO_EUR,0.0
2016,Q86,CPA_C18,MT,MIO_EUR,0.0
2016,Q86,CPA_C18,MX,MIO_EUR,0.0
2016,Q86,CPA_C18,NL,MIO_EUR,0.0
2016,Q86,CPA_C18,NO,MIO_EUR,0.0
2016,Q86,CPA_C18,PL,MIO_EUR,0.0
2016,Q86,CPA_C18,PT,MIO_EUR,0.0
2016,Q86,CPA_C18,RO,MIO_EUR,0.0
2016,Q86,CPA_C18,RS,MIO_EUR,0.0
2016,Q86,CPA_C18,RU,MIO_EUR,0.0
2016,Q86,CPA_C18,SA,MIO_EUR,0.0
2016,Q86,CPA_C18,SE,MIO_EUR,0.0
2016,Q86,CPA_C18,SI,MIO_EUR,0.0
2016,Q86,CPA_C18,SK,MIO_EUR,0.0
2016,Q86,CPA_C18,TR,MIO_EUR,0.0
2016,Q86,CPA_C18,UK,MIO_EUR,0.0
2016,Q86,CPA_C18,US,MIO_EUR,0.0
2016,Q86,CPA_C18,WRL_REST,MIO_EUR,0.0
2016,Q86,CPA_C18,ZA,MIO_EUR,0.0
2016,Q86,CPA_C19,DK,MIO_EUR,3.267
2016,Q86,CPA_C19,RU,MIO_EUR,0.34
2016,Q86,CPA_C19,SE,MIO_EUR,0.227
2016,Q86,CPA_C19,WRL_REST,MIO_EUR,0.167
2016,Q86,CPA_C19,DE,MIO_EUR,0.137
2016,Q86,CPA_C19,NL,MIO_EUR,0.11
2016,Q86,CPA_C19,US,MIO_EUR,0.051
2016,Q86,CPA_C19,ES,MIO_EUR,0.036
2016,Q86,CPA_C19,PL,MIO_EUR,0.033
2016,Q86,CPA_C19,FI,MIO_EUR,0.032
2016,Q86,CPA_C19,CA,MIO_EUR,0.031
2016,Q86,CPA_C19,UK,MIO_EUR,0.027
2016,Q86,CPA_C19,FR,MIO_EUR,0.021
2016,Q86,CPA_C19,TR,MIO_EUR,0.015
2016,Q86,CPA_C19,NO,MIO_EUR,0.014
2016,Q86,CPA_C19,IT,MIO_EUR,0.012
2016,Q86,CPA_C19,BE,MIO_EUR,0.009
2016,Q86,CPA_C19,EL,MIO_EUR,0.006
2016,Q86,CPA_C19,HU,MIO_EUR,0.006
2016,Q86,CPA_C19,IN,MIO_EUR,0.006
2016,Q86,CPA_C19,AU,MIO_EUR,0.004
2016,Q86,CPA_C19,MX,MIO_EUR,0.004
