mrio_vintage,mrio_year,country_producing,sector_producing,exiobase_industry_index,value,unit,variable
v3.8.2,2016,NOR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,1970.6909076,M.EUR,total_industry_output
v3.8.2,2016,IDN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,3522.44535786,M.EUR,total_industry_output
v3.8.2,2016,ZAF,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,1241.48852099,M.EUR,total_industry_output
v3.8.2,2016,RoW Asia and Pacific,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,15585.3493582,M.EUR,total_industry_output
v3.8.2,2016,RoW America,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,32909.185347,M.EUR,total_industry_output
v3.8.2,2016,RoW Europe,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4131.24512266,M.EUR,total_industry_output
v3.8.2,2016,RoW Africa,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,11226.0184421,M.EUR,total_industry_output
v3.8.2,2016,RoW Middle East,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,25883.3987505,M.EUR,total_industry_output
v3.8.2,2022,AUT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,5265.34114715,M.EUR,total_industry_output
v3.8.2,2022,BEL,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2778.16545856,M.EUR,total_industry_output
v3.8.2,2022,BGR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,390.946289923,M.EUR,total_industry_output
v3.8.2,2022,CYP,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,28.430293833,M.EUR,total_industry_output
v3.8.2,2022,CZE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,3921.51614521,M.EUR,total_industry_output
v3.8.2,2022,DEU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,76024.5843239,M.EUR,total_industry_output
v3.8.2,2022,DNK,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,6276.27364241,M.EUR,total_industry_output
v3.8.2,2022,EST,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,266.62626919,M.EUR,total_industry_output
v3.8.2,2022,ESP,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,5629.23611394,M.EUR,total_industry_output
v3.8.2,2022,FIN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,3442.67946085,M.EUR,total_industry_output
v3.8.2,2022,FRA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,35273.9367035,M.EUR,total_industry_output
v3.8.2,2022,GRC,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,419.727620756,M.EUR,total_industry_output
v3.8.2,2022,HRV,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,150.911727468,M.EUR,total_industry_output
v3.8.2,2022,HUN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,3336.76955674,M.EUR,total_industry_output
v3.8.2,2022,IRL,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,21222.7510744,M.EUR,total_industry_output
v3.8.2,2022,ITA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,24798.5377011,M.EUR,total_industry_output
v3.8.2,2022,LTU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,274.347951742,M.EUR,total_industry_output
v3.8.2,2022,LUX,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,932.34567763,M.EUR,total_industry_output
v3.8.2,2022,LVA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,54.4125425257,M.EUR,total_industry_output
