producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
TUR,Turkey,Middle East,Scope 3,land_use,km2,24.714076139001,0.5094632833839906
EST,Estonia,Europe,Scope 3,land_use,km2,24.652323513912844,0.5081902964854293
IRL,Ireland,Europe,Scope 3,land_use,km2,23.989794236087853,0.49453272177697877
GRC,Greece,Europe,Scope 3,land_use,km2,22.11233944959453,0.455830312892576
LTU,Lithuania,Europe,Scope 3,land_use,km2,21.59336482557948,0.4451320163243934
GBR,United Kingdom,Europe,Scope 3,land_use,km2,20.436186869848243,0.42127760730377595
ITA,Italy,Europe,Scope 3,land_use,km2,18.079155371984942,0.3726890620882046
ZAF,South Africa,Africa,Scope 3,land_use,km2,15.35928097260355,0.3166207658627113
HUN,Hungary,Europe,Scope 3,land_use,km2,10.119586406451424,0.20860815059895418
BGR,Bulgaria,Europe,Scope 3,land_use,km2,9.82648486581988,0.20256606865281157
MEX,Mexico,America,Scope 3,land_use,km2,8.067391349757303,0.16630359404392028
SVK,Slovakia,Europe,Scope 3,land_use,km2,7.283468475166445,0.15014357578701212
NLD,Netherlands,Europe,Scope 3,land_use,km2,6.452733892780854,0.13301856712464502
PRT,Portugal,Europe,Scope 3,land_use,km2,5.691876240257081,0.11733402218505556
CZE,Czech Republic,Europe,Scope 3,land_use,km2,5.652996149863043,0.11653253648925187
HRV,Croatia,Europe,Scope 3,land_use,km2,5.240926219030761,0.10803800492089059
AUT,Austria,Europe,Scope 3,land_use,km2,4.832395558202343,0.0996164329123692
CHE,Switzerland,Europe,Scope 3,land_use,km2,3.7792523523932715,0.07790662703140701
BEL,Belgium,Europe,Scope 3,land_use,km2,2.5819581452088474,0.0532252497248845
TWN,Taiwan,Asia and Pacific,Scope 3,land_use,km2,2.308877814566044,0.047595890929743555
SVN,Slovenia,Europe,Scope 3,land_use,km2,2.213991724769049,0.04563988097883307
KOR,South Korea,Asia and Pacific,Scope 3,land_use,km2,1.5679111522785834,0.03232138475262107
JPN,Japan,Asia and Pacific,Scope 3,land_use,km2,0.6857820619673461,0.014136914485926246
CYP,Cyprus,Middle East,Scope 3,land_use,km2,0.3967073874516811,0.00817784355025411
LUX,Luxembourg,Europe,Scope 3,land_use,km2,0.18227505607164185,0.003757471977627943
MLT,Malta,Europe,Scope 3,land_use,km2,0.03226888335839334,0.0006652003163880605
DNK,Denmark,Denmark,Outside protocol,material_extraction,kt,10.6529,99.99999999999999
POL,Poland,Europe,Scope 2,material_extraction,kt,0.20977864751391545,80.12564086222216
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,material_extraction,kt,0.022625144695962066,8.641748051332122
RoW Europe,RoW Europe,Europe,Scope 2,material_extraction,kt,0.020055052680218816,7.660092995983135
RoW America,RoW America,America,Scope 2,material_extraction,kt,0.006935801177552514,2.6491519553127354
RoW Middle East,RoW Middle East,Middle East,Scope 2,material_extraction,kt,0.0010948613147830325,0.41818586182097667
CZE,Czech Republic,Europe,Scope 2,material_extraction,kt,0.0005480199542253147,0.2093180147644733
RUS,Russia,Europe,Scope 2,material_extraction,kt,0.0002637055087882178,0.10072318198711191
HUN,Hungary,Europe,Scope 2,material_extraction,kt,0.0001710357197358489,0.06532765282156397
AUT,Austria,Europe,Scope 2,material_extraction,kt,0.00013823428460442314,0.05279903733922915
CAN,Canada,America,Scope 2,material_extraction,kt,0.00012510227117465932,0.04778322183874388
RoW Africa,RoW Africa,Africa,Scope 2,material_extraction,kt,7.652549854331251e-05,0.029229164577759165
DNK,Denmark,Denmark,Scope 3,material_extraction,kt,1960.416715072231,46.17863162337909
CHN,China,Asia and Pacific,Scope 3,material_extraction,kt,410.1012706745353,9.6601479477088
RoW Europe,RoW Europe,Europe,Scope 3,material_extraction,kt,288.7722651415225,6.802180348950858
RoW Middle East,RoW Middle East,Middle East,Scope 3,material_extraction,kt,265.6027582438426,6.256410607396761
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,material_extraction,kt,170.10835417445776,4.006990433762016
POL,Poland,Europe,Scope 3,material_extraction,kt,124.74040452048317,2.938324869715491
IND,India,Asia and Pacific,Scope 3,material_extraction,kt,119.44509573220618,2.8135911271464398
DEU,Germany,Europe,Scope 3,material_extraction,kt,119.33564487488272,2.811012955484086
RoW Africa,RoW Africa,Africa,Scope 3,material_extraction,kt,73.48907196396993,1.7310731725949025
RoW America,RoW America,America,Scope 3,material_extraction,kt,60.85151987917334,1.433389084381246
SWE,Sweden,Europe,Scope 3,material_extraction,kt,57.29704970313966,1.3496616974367317
