producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
ESP,Spain,Europe,Minerals and Metals,material_extraction,kt,10.321393192409808,2019,EXIOBASE v3.7 IOT_2016_ixi
GBR,United Kingdom,Europe,Food and catering,material_extraction,kt,10.243157351142639,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Food and catering,waste_generation,kt,10.199067673153271,2019,EXIOBASE v3.7 IOT_2016_ixi
NLD,Netherlands,Europe,Minerals and Metals,material_extraction,kt,10.149606876189322,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Electricity,climate_change,kt CO2eq,10.114551052053198,2019,EXIOBASE v3.7 IOT_2016_ixi
BRA,Brazil,America,Chemical,waste_generation,kt,9.972025060199122,2019,EXIOBASE v3.7 IOT_2016_ixi
GBR,United Kingdom,Europe,Coal and Petroleum,climate_change,kt CO2eq,9.851576013035913,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Food and catering,waste_generation,kt,9.82576441374214,2019,EXIOBASE v3.7 IOT_2016_ixi
PRT,Portugal,Europe,Minerals and Metals,material_extraction,kt,9.747040155640748,2019,EXIOBASE v3.7 IOT_2016_ixi
CHE,Switzerland,Europe,Transport,climate_change,kt CO2eq,9.546510507077302,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Food and catering,blue_water_consumption,Mm3,9.513104588245712,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,waste_generation,kt,9.384935501322378,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Waste management and disposal,climate_change,kt CO2eq,9.357454168575307,2019,EXIOBASE v3.7 IOT_2016_ixi
SVK,Slovakia,Europe,Food and catering,land_use,km2,9.282835850113255,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Transport,climate_change,kt CO2eq,9.278460794890464,2019,EXIOBASE v3.7 IOT_2016_ixi
IRL,Ireland,Europe,Food and catering,climate_change,kt CO2eq,9.163692531606644,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Food and catering,climate_change,kt CO2eq,8.859102371405003,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Minerals and Metals,climate_change,kt CO2eq,8.84085959093416,2019,EXIOBASE v3.7 IOT_2016_ixi
ROU,Romania,Europe,Minerals and Metals,material_extraction,kt,8.807843104204155,2019,EXIOBASE v3.7 IOT_2016_ixi
POL,Poland,Europe,Coal and Petroleum,climate_change,kt CO2eq,8.732138811023269,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Transport,land_use,km2,8.600720095338385,2019,EXIOBASE v3.7 IOT_2016_ixi
