producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Africa,Transport Equipment,Scope 3,climate_change,kt CO2eq,0.1251947317299794,0.0022375926855615533
Middle East,Transport Equipment,Scope 3,climate_change,kt CO2eq,0.12146255483775997,0.002170887868195406
Denmark,Transport Equipment,Scope 3,climate_change,kt CO2eq,0.0832394865023167,0.0014877308619439472
Africa,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.032923288824969,0.0005884345869942077
Denmark,Private travel,Outside protocol,land_use,km2,0.6924,99.99999999999999
Asia and Pacific,Electricity,Scope 2,land_use,km2,0.024309737688918382,35.93757662179034
Europe,Electricity,Scope 2,land_use,km2,0.013948509151865893,20.620363033922466
Africa,Electricity,Scope 2,land_use,km2,0.011759802668217507,17.384753996702003
America,Electricity,Scope 2,land_use,km2,0.009332314900075769,13.79614975989775
Europe,"Steam, hot water supply and water distribution",Scope 2,land_use,km2,0.004881165781295096,7.215926042217961
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,land_use,km2,0.0033667592426842,4.977148244024004
Middle East,Electricity,Scope 2,land_use,km2,4.605382568823541e-05,0.06808230144548201
Europe,Food and catering,Scope 3,land_use,km2,1622.0864888282972,32.507474862566056
Asia and Pacific,Food and catering,Scope 3,land_use,km2,1117.5878462218827,22.39705408310865
Africa,Food and catering,Scope 3,land_use,km2,993.4367193909945,19.908999554321095
America,Food and catering,Scope 3,land_use,km2,543.7408462572549,10.89685538545234
Denmark,Food and catering,Scope 3,land_use,km2,372.91607894483593,7.473436309122207
Middle East,Food and catering,Scope 3,land_use,km2,285.82408987770197,5.728066586342636
Asia and Pacific,Textile,Scope 3,land_use,km2,9.630086773843269,0.19299205429617333
Europe,Services,Scope 3,land_use,km2,6.647296129226651,0.1332153453672848
Europe,Paper Products,Scope 3,land_use,km2,5.117392872563743,0.1025552714435744
Europe,Furniture and timber,Scope 3,land_use,km2,3.9276963202657362,0.07871312058770676
Denmark,Furniture and timber,Scope 3,land_use,km2,3.470712901354238,0.06955493013042374
America,Textile,Scope 3,land_use,km2,2.908671988244394,0.05829133168454216
Asia and Pacific,Services,Scope 3,land_use,km2,2.8165512378976922,0.056445182914522336
Europe,Transport,Scope 3,land_use,km2,2.588613196817493,0.05187718349422665
Africa,Textile,Scope 3,land_use,km2,2.1032504311408493,0.04215025585311418
Europe,Coal and Petroleum,Scope 3,land_use,km2,1.619335711029173,0.032452347814302354
Asia and Pacific,Transport,Scope 3,land_use,km2,1.535402969004082,0.030770291080386914
Europe,Construction,Scope 3,land_use,km2,1.2406826119872383,0.024863938575020797
Denmark,Private travel,Scope 3,land_use,km2,0.914,0.018317045502208397
