model_id,indicator_id,demand_component_id,purchased_region_id,purchased_industry_id,value
1,1,1,3,39,2.181537436974127e-05
1,1,1,3,40,0.0001825461805669
1,1,1,3,41,5.2000146986654876e-08
1,1,1,3,42,3.567384594082957e-07
1,1,1,3,43,0.001075827236547
1,1,1,3,44,0.0002996817145282
1,1,1,3,45,0.0002531041486709
1,1,1,3,46,2.6446043562442625e-06
1,1,1,3,47,0.0017802994111114
1,1,1,3,48,6.680962715514841e-05
1,1,1,3,49,4.4859112244740146e-05
1,1,1,3,50,2.693408528381057e-05
1,1,1,3,51,3.130952029133211e-07
1,1,1,3,52,3.291867416266386e-06
1,1,1,3,53,1.1382100716006956e-06
1,1,1,3,54,9.952907994719924e-05
1,1,1,3,55,1.101766590597989e-05
1,1,1,3,56,2.959373377951592e-07
1,1,1,3,57,5.981452673221928e-05
1,1,1,3,59,2.247853502255834e-06
1,1,1,3,60,2.031836151302714e-05
1,1,1,3,61,4.883134279782409e-09
1,1,1,3,62,1.28060859871586e-05
1,1,1,3,63,2.46448546643371e-05
1,1,1,3,64,0.0004376074175955
1,1,1,3,65,7.637639025913965e-06
1,1,1,3,66,3.2492593481569026e-06
1,1,1,3,67,4.942881861075705e-05
1,1,1,3,68,5.006599755928212e-05
1,1,1,3,69,0.000101008463911
1,1,1,3,70,2.1804450984282552e-05
1,1,1,3,71,0.0001859852366113
1,1,1,3,72,8.388836821981638e-07
1,1,1,3,73,1.560556634065808e-05
1,1,1,3,74,6.730291299594044e-08
1,1,1,3,76,3.562944647759975e-06
1,1,1,3,77,1.113092149713e-05
1,1,1,3,78,1.9445714387186057e-06
