model_id,capital_treatment_id,indicator_id,producing_region_id,producing_industry_id,value
1,4,2,3,23,0.0010194720948326
1,4,2,3,26,0.0694938292803755
1,4,2,3,29,0.0242908556686127
1,4,2,3,30,0.0043552998807542
1,4,2,3,31,0.0115464007148823
1,4,2,3,32,0.0178602514894948
1,4,2,3,33,0.0205949704168965
1,4,2,3,34,0.0030226268720955
1,4,2,3,35,0.0010596315373839
1,4,2,3,36,0.0009813774707273
1,4,2,3,37,0.0007649185453662
1,4,2,3,38,0.0015175912598666
1,4,2,3,39,0.0017999648853922
1,4,2,3,40,0.0025466513604958
1,4,2,3,41,0.0097421988449443
1,4,2,3,42,0.0003689030697134
1,4,2,3,43,0.0104462235590596
1,4,2,3,44,0.0096030608169797
1,4,2,3,45,0.003710033984049
1,4,2,3,46,0.0014640795351294
1,4,2,3,47,0.0280851550890846
1,4,2,3,48,0.0073972395975738
1,4,2,3,49,0.0067088729003353
1,4,2,3,50,0.00299919861899
1,4,2,3,51,0.0001228386704104
1,4,2,3,52,0.0064467846964283
1,4,2,3,53,0.0040011219000927
1,4,2,3,54,0.0104186469421854
1,4,2,3,55,0.0063606467093836
1,4,2,3,56,0.0007492936318547
1,4,2,3,57,0.4178017447091515
1,4,2,3,59,0.0009178079951919
1,4,2,3,60,0.002936198427628
1,4,2,3,61,0.0003280476220809
1,4,2,3,62,0.015227726056752
1,4,2,3,63,2.120191354811181
1,4,2,3,64,0.0039451641440819
1,4,2,3,65,0.0354894286625836
1,4,2,3,66,0.0076203917463056
1,4,2,3,67,0.0272285389546031
1,4,2,3,68,0.0094052217158844
1,4,2,3,69,0.3864655626867465
1,4,2,3,70,0.0601848269334333
1,4,2,3,71,0.0407947624604645
1,4,2,3,72,0.0400938948213624
1,4,2,3,73,0.0052957040558575
1,4,2,3,74,0.0001437677064506
1,4,2,3,76,0.0085744691587883
1,4,2,3,77,0.0350974039890374
1,4,2,3,78,0.0037446302303777
1,4,2,3,80,0.0171146563613311
1,4,2,3,81,0.0002657424079087
1,4,2,3,82,0.0101674726884189
1,4,2,3,84,0.0236002766397659
1,4,2,3,85,0.0090714721301173
1,4,2,3,86,0.0092370995868938
1,4,2,3,87,0.0011945036317804
1,4,2,3,88,0.0161241209693013
1,4,2,3,89,0.0012317582406641
1,4,2,3,90,3.9100689767987446e-05
1,4,2,3,91,0.0067260916337669
1,4,2,3,92,0.0190788970522673
1,4,2,3,93,0.0087373110554977
1,4,2,3,94,1.042669942107826e-07
1,4,2,3,95,7.739907623117279e-07
1,4,2,3,96,6.976016755642688
1,4,2,3,97,0.0016837201472744
1,4,2,3,98,1.3497690996937224e-05
1,4,2,3,99,0.0001230647319138
1,4,2,3,100,0.0037439880016426
1,4,2,3,101,0.0142855088284132
1,4,2,3,102,8.640829684421504e-05
1,4,2,3,107,1.5382609588691117e-07
1,4,2,3,108,0.0097528477607561
