model_id,indicator_id,demand_component_id,producing_region_id,producing_industry_id,value
1,1,1,5,2,5.167591481482037e-06
1,1,1,5,3,0.0001282899135787
1,1,1,5,4,0.0002245081938211
1,1,1,5,5,9.561100045112211e-06
1,1,1,5,6,8.269427583747908e-08
1,1,1,5,7,1.4722844604560089e-08
1,1,1,5,8,0.0002618395924869
1,1,1,5,9,0.0008892210772943
1,1,1,5,10,0.0005074767196589
1,1,1,5,11,6.885158473019328e-05
1,1,1,5,12,7.641848661169266e-05
1,1,1,5,13,1.328407102232397e-05
1,1,1,5,14,8.294253683944034e-06
1,1,1,5,19,1.2014438997015643e-05
1,1,1,5,20,1.3069082180870603e-05
1,1,1,5,21,1.1217304403063804e-06
1,1,1,5,22,9.72882944237981e-07
1,1,1,5,23,1.2802116112523624e-08
1,1,1,5,24,2.878258296088123e-07
1,1,1,5,25,2.223765422976224e-09
1,1,1,5,27,1.6304558165717954e-11
1,1,1,5,28,4.322927673559252e-11
1,1,1,5,30,8.727665711746002e-15
1,1,1,5,31,3.4811857473572664e-10
1,1,1,5,32,2.4394605504589944e-06
1,1,1,5,33,7.540143734716939e-06
1,1,1,5,34,5.610004409213264e-07
1,1,1,5,35,6.994741947360643e-06
1,1,1,5,36,5.7707099977074926e-05
1,1,1,5,37,1.1062348910910155e-06
1,1,1,5,38,2.3782937490624895e-05
1,1,1,5,39,1.7733876501607576e-05
1,1,1,5,40,6.083681218875703e-05
1,1,1,5,41,1.4228314206948507e-10
1,1,1,5,42,4.0427630540273095e-05
1,1,1,5,43,0.0001450127394414
1,1,1,5,44,4.670291768210077e-05
1,1,1,5,45,0.0049443436311628
1,1,1,5,46,2.027676598275831e-07
1,1,1,5,47,0.000288704151339
1,1,1,5,48,0.0004171058085362
1,1,1,5,49,0.0001190036874267
1,1,1,5,50,2.2820490292897432e-05
1,1,1,5,51,9.707501099900522e-07
1,1,1,5,52,0.00305020246602
1,1,1,5,53,0.0012422869393424
1,1,1,5,54,0.0015234596538801
1,1,1,5,55,6.875326788102442e-05
1,1,1,5,56,7.958390701357537e-08
1,1,1,5,57,1.408391294986989e-06
1,1,1,5,58,8.899859152184185e-09
1,1,1,5,59,1.465381081855666e-05
1,1,1,5,60,0.0001484000505597
1,1,1,5,61,0.0006235683140063
1,1,1,5,62,0.0002481838737481
1,1,1,5,63,0.0022974269777696
1,1,1,5,64,3.685613453928878e-05
1,1,1,5,65,0.0002268792362959
1,1,1,5,66,2.0898106152288296e-05
1,1,1,5,67,1.9206398914251308e-05
1,1,1,5,68,1.3575688050401205e-05
1,1,1,5,69,0.0012531110309298
1,1,1,5,70,0.0002761756036225
1,1,1,5,71,0.0001976301946629
1,1,1,5,72,0.0006459615824533
1,1,1,5,73,0.0001633236708695
1,1,1,5,74,4.036140135642584e-07
1,1,1,5,76,1.206849173023162e-05
1,1,1,5,77,2.9246310195172785e-05
1,1,1,5,78,2.1016835192648825e-07
1,1,1,5,79,1.655049532361925e-07
1,1,1,5,80,2.8913732012644076e-05
1,1,1,5,82,1.3689880770462115e-08
1,1,1,5,84,2.3301468777066902e-06
1,1,1,5,85,4.105672207781066e-05
1,1,1,5,86,1.8037527553599144e-05
1,1,1,5,87,9.708272566979827e-07
1,1,1,5,88,1.8060422102547532e-05
1,1,1,5,89,2.557179547682637e-06
1,1,1,5,90,3.5623534754969164e-06
1,1,1,5,91,1.160886618236299e-05
1,1,1,5,92,4.166293182895481e-07
1,1,1,5,93,4.047728344736076e-06
1,1,1,5,94,3.090966054054305e-06
1,1,1,5,96,2.477246755426018e-07
1,1,1,5,97,2.368095797755356e-09
1,1,1,5,98,7.651167800798016e-08
1,1,1,5,99,7.750049490817059e-09
1,1,1,5,100,5.348259884538413e-10
1,1,1,5,101,1.6196332931238988e-10
1,1,1,5,102,6.209649040969068e-09
1,1,1,5,103,1.1109493707711678e-12
1,1,1,5,107,1.549345921604096e-08
1,1,1,5,108,6.272636041653107e-08
1,1,1,5,109,2.0018452251516721e-07
1,1,1,5,110,1.6182809880552221e-07
1,1,1,5,111,5.273448373587533e-07
1,1,1,5,113,5.997959561232693e-06
1,1,1,5,114,8.962730331715875e-09
1,1,1,5,117,0.0004397404679055
1,1,1,5,118,0.0002426864498213
1,1,1,5,119,0.0001184899530145
1,1,1,5,120,1.6626883605654346e-06
1,1,1,5,121,6.518520786184054e-06
1,1,1,5,122,1.62373932825436e-07
1,1,1,5,126,1.1288211370637044e-09
1,1,1,5,127,7.212182779322013e-09
1,1,1,5,131,1.2030298667406433e-05
1,1,1,5,133,3.2223128739437057e-06
1,1,1,5,134,1.818845185896631e-05
1,1,1,5,135,0.000104843279184
1,1,1,5,136,2.05706015671657e-08
1,1,1,5,137,1.0034401954191157e-07
1,1,1,5,138,9.113944589511241e-09
1,1,1,5,139,2.8388194954509794e-07
1,1,1,5,140,2.249282695420411e-07
1,1,1,5,141,2.73945765051952e-08
1,1,1,5,142,2.52367515161272e-07
1,1,1,5,143,3.220368220089589e-08
1,1,1,5,144,5.0961670569608565e-08
1,1,1,5,145,2.110012906001495e-07
1,1,1,5,148,1.182413246850112e-06
1,1,1,5,149,3.826598761008351e-07
1,1,1,5,151,4.728236757594713e-07
1,1,1,5,152,1.0465006127523007e-06
1,1,1,5,153,9.211000973821404e-07
1,1,1,5,154,6.229118407133967e-07
1,1,1,5,155,9.03531440771369e-08
1,1,1,5,156,3.6357415401256923e-07
1,1,1,5,157,1.5578263518606345e-07
1,1,1,5,158,1.871716345316956e-07
1,1,1,5,159,2.7464535403590356e-08
1,1,1,5,160,2.1760115344398165e-08
1,1,1,6,2,1.227436897478955e-09
1,1,1,6,3,0.0024366424657222
1,1,1,6,4,0.0052769341908817
1,1,1,6,5,8.297574015904272e-06
1,1,1,6,6,0.0055694659612307
1,1,1,6,8,0.0243995818481675
1,1,1,6,9,0.037756989233986
1,1,1,6,10,0.009641903012137
1,1,1,6,11,0.0002924357741279
1,1,1,6,12,0.0012258449771678
1,1,1,6,13,0.000141974437876
1,1,1,6,14,0.0073788181111732
1,1,1,6,20,0.0003936445448531
1,1,1,6,21,7.708163262743681e-06
1,1,1,6,22,1.4779117722759956e-05
1,1,1,6,23,8.259767766777121e-10
1,1,1,6,24,5.138918994482474e-08
1,1,1,6,25,2.6970687955736275e-08
1,1,1,6,30,4.452127720771026e-07
1,1,1,6,31,4.5552989830558955e-08
1,1,1,6,32,6.360438463086018e-06
1,1,1,6,33,9.41416798214153e-06
1,1,1,6,34,2.1728555829774083e-05
1,1,1,6,35,2.8907663650330463e-05
1,1,1,6,36,7.353899629318082e-05
1,1,1,6,37,2.2501435505305404e-06
1,1,1,6,38,0.0001934145001223
1,1,1,6,39,0.0002743015925486
1,1,1,6,40,0.000209446568653
1,1,1,6,41,4.229367404123792e-07
1,1,1,6,42,3.110348436547547e-05
1,1,1,6,43,0.0005077177802262
1,1,1,6,44,0.0002551239297491
1,1,1,6,45,0.0426266177105205
1,1,1,6,46,2.1420719992863073e-06
1,1,1,6,47,8.178168608887176e-05
1,1,1,6,48,8.648479475236344e-05
1,1,1,6,49,0.0033792892527701
1,1,1,6,50,6.793652706098568e-05
1,1,1,6,51,1.3392686988736204e-05
1,1,1,6,52,0.0022434955505172
1,1,1,6,53,0.0096120567708554
1,1,1,6,54,0.0073336304937198
1,1,1,6,55,0.0002494580660338
1,1,1,6,56,4.121588971005356e-05
1,1,1,6,57,0.001683749910341
1,1,1,6,58,1.5531250180999782e-05
