model_id,indicator_id,scope_id,producing_region_id,producing_industry_id,value
1,2,3,36,108,2.4078024289159032e-08
1,2,3,36,109,3.8645354685818126e-08
1,2,3,37,96,0.0007794430119444
1,2,3,37,97,0.0012219674594416
1,2,3,37,98,1.32735336706949e-05
1,2,3,37,99,1.9305239813659896e-05
1,2,3,37,100,0.0014031931188247
1,2,3,37,101,0.0002250231890603
1,2,3,37,102,0.004786251121291
1,2,3,37,106,4.4474308390140046e-06
1,2,3,37,107,0.0037941681231349
1,2,3,37,108,4.077486883170798e-05
1,2,3,37,109,2.986349952129816e-05
1,2,3,37,111,0.4282370461883395
1,2,3,38,96,0.0106813120089321
1,2,3,38,97,0.0014626556823865
1,2,3,38,99,5.924406733892604e-07
1,2,3,38,100,1.903643130387708e-06
1,2,3,38,101,6.795050141934174e-05
1,2,3,38,102,0.0001003024307169
1,2,3,38,103,1.3952539473150864e-08
1,2,3,38,104,6.964808357482895e-11
1,2,3,38,107,4.548245973752636e-09
1,2,3,38,108,3.123141830575234e-08
1,2,3,38,109,6.114800654951757e-07
1,2,3,39,97,2.3155051944395776e-08
1,2,3,39,98,4.410608087574014e-09
1,2,3,39,99,1.0099224181075284e-08
1,2,3,39,100,1.6568350140565798e-08
1,2,3,39,101,5.145708444604615e-06
1,2,3,39,102,1.6094979922881607e-05
1,2,3,39,103,1.309515270511343e-06
1,2,3,39,108,2.3306290952356482e-08
1,2,3,39,109,9.436004653303534e-05
1,2,3,39,111,0.002784020724102
1,2,3,40,96,0.0364648647769854
1,2,3,40,97,0.0495653843740906
1,2,3,40,99,0.0001259330659408
1,2,3,40,100,0.0002808905726047
1,2,3,40,101,0.0084649417930363
1,2,3,40,102,6.86937818326373e-05
1,2,3,40,106,8.823361104771965e-05
1,2,3,40,107,0.0001665233374322
1,2,3,40,109,8.62166097197353e-07
1,2,3,40,111,0.1080270259726581
1,2,3,41,96,1.1296096846268352e-05
1,2,3,41,97,1.3055400737229831e-08
1,2,3,41,98,1.6793734677065198e-11
1,2,3,41,99,1.7794084527862265e-12
1,2,3,41,100,2.8084961775134348e-15
1,2,3,41,101,6.123590278384051e-10
1,2,3,41,102,2.5772926324643758e-12
1,2,3,41,107,2.2586363623920284e-15
1,2,3,42,96,3.5628156243734843e-06
1,2,3,42,97,0.3480936788449807
1,2,3,42,99,5.3615510399097885e-05
1,2,3,42,100,2.1014296173531263e-05
1,2,3,42,101,5.3581428343109e-10
1,2,3,42,102,1.726049912602907e-05
1,2,3,42,107,1.5377186928496728e-05
1,2,3,42,108,1.3544343978618832e-06
1,2,3,42,109,7.509093207866728e-07
1,2,3,42,111,0.0027984291908075
