country_producing,sector_producing,background_year,analysis_year,country_consuming,sector_consuming,value,unit
DNK,Sea and coastal water transport,2016,2019,DNK,"Lead, zinc and tin production",0.102319954162089,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Cultivation of crops nec,0.10148709440410744,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Pigs farming,0.09655878256486143,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Insurance and pension funding, except compulsory social security (66)",0.09400262802722809,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Incineration of waste: Oil/Hazardous waste,0.08961425276768789,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Production of electricity by coal,0.08933735735173089,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.0848713471785201,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of gas; distribution of gaseous fuels through mains,0.07972039216208976,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Other non-ferrous metal production,0.06986562560536294,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Landfill of waste: Inert/metal/hazardous,0.06918896391991151,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Air transport (62),0.06825100539869926,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Cultivation of wheat,0.06446934615295487,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Raw milk,0.0638049175402214,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Recycling of waste and scrap,0.06316581072283038,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Production of electricity by gas,0.06196118230343996,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Cultivation of cereal grains nec,0.06105579097770426,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Incineration of waste: Wood,0.0574358474465244,M.EUR
