study,consuming_country_iso3,reference_year,figure,article_page,indicator,figure_group,published_share_pct,archive_share_pct,difference_pp,note,source
steenmeijer_2022,NLD,2016,2,e954,blue_water_consumption,Electricity sector,1.817,1.8087908024323223,-0.008209197567677684,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,land_use,Other,1.71,1.6715751980180429,-0.03842480198195708,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,land_use,Mining of minerals and metals,0.092,0.0747199440545283,-0.017280055945471703,"drawn at the composing spreadsheet's hairline minimum, so the published value is a floor rather than a measurement","Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,land_use,Agricultural sector,98.2,98.21923784648374,0.01923784648373328,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,land_use,Fossil fuel industry,0.091,0.004884420437542481,-0.08611557956245752,"drawn at the composing spreadsheet's hairline minimum, so the published value is a floor rather than a measurement","Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,land_use,Pharmaceutical and chemical industry,0.091,0.013484613623753229,-0.07751538637624678,"drawn at the composing spreadsheet's hairline minimum, so the published value is a floor rather than a measurement","Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,land_use,Electricity sector,0.091,0.01609797738239617,-0.07490202261760383,"drawn at the composing spreadsheet's hairline minimum, so the published value is a floor rather than a measurement","Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,waste_generation,Other,8.25,7.733754076164337,-0.5162459238356627,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,waste_generation,Mining of minerals and metals,50.871,50.89062184294782,0.019621842947820767,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,waste_generation,Operational (direct) impacts,3.997,3.9555683876412275,-0.04143161235877235,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,waste_generation,Agricultural sector,29.796,29.855848259171054,0.05984825917105496,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,waste_generation,Fossil fuel industry,0.818,0.814865078797755,-0.0031349212022449002,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,waste_generation,Pharmaceutical and chemical industry,4.27,4.7730257797728175,0.5030257797728179,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,waste_generation,Electricity sector,1.999,1.9763165755050003,-0.022683424494999826,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,climate_change,Africa,4.406,4.552286052077694,0.14628605207769407,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,climate_change,Americas,9.326,9.605593806901263,0.27959380690126245,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,climate_change,Middle East,10.754,11.052781088577701,0.2987810885777016,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,climate_change,Europe (excluding the Netherlands),13.323,13.70239238893975,0.379392388939749,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,climate_change,Asia-Pacific,25.028,25.71267236837027,0.684672368370272,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,climate_change,Netherlands,37.164,35.374274295133326,-1.789725704866676,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,material_extraction,Africa,1.36,1.352655220286463,-0.007344779713537086,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
