study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,Furniture and timber,land_use,km2,77.97713414915565,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,General and special Machinery,land_use,km2,0.5997608389808922,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Metal Products,land_use,km2,2.067675775010982,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Minerals and Metals,land_use,km2,17.8434390088653,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Natural gas and gaseous fuels,land_use,km2,0.1361129958714729,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Non-metallic mineral products,land_use,km2,1.479433832584752,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Paper Products,land_use,km2,31.77977524486805,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Private travel,land_use,km2,2.7462,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Services,land_use,km2,93.32411915439522,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,"Steam, hot water supply and water distribution",land_use,km2,1.490952483618998,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Textile,land_use,km2,150.7343757173633,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport,land_use,km2,26.26184029897956,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport Equipment,land_use,km2,0.03694135298305432,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Waste management and disposal,land_use,km2,12.47070346935932,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Direct,Operational impact,waste_generation,kt,190.2618270286488,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Chemical,waste_generation,kt,229.5813183641979,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Coal and Petroleum,waste_generation,kt,38.75353786295131,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Construction,waste_generation,kt,118.9451567671139,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,"Electrical, electronic and measuring equipment",waste_generation,kt,11.46956697842891,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Electricity,waste_generation,kt,95.06032144897631,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Food and catering,waste_generation,kt,1436.058659743543,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Furniture and timber,waste_generation,kt,7.323559603229416,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,General and special Machinery,waste_generation,kt,6.005173600407348,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Metal Products,waste_generation,kt,45.77187977430815,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Minerals and Metals,waste_generation,kt,2447.825885330521,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Natural gas and gaseous fuels,waste_generation,kt,0.441263864735751,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Non-metallic mineral products,waste_generation,kt,7.538081384499312,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Paper Products,waste_generation,kt,71.79433066930187,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Private travel,waste_generation,kt,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Services,waste_generation,kt,21.3467259475993,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,"Steam, hot water supply and water distribution",waste_generation,kt,5.435527233471692,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Textile,waste_generation,kt,5.606885092343174,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport,waste_generation,kt,3.425418070694735,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport Equipment,waste_generation,kt,0.5146784412012965,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Waste management and disposal,waste_generation,kt,66.81460806773313,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
