study,consuming_country_iso3,reference_year,purchased_country_name,purchased_sector_group,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,Brazil,Transport,0.3236388058500287,climate_change,kt CO2eq per M.EUR,0.816426423725645,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Transport Equipment,0.007493351749468209,climate_change,kt CO2eq per M.EUR,0.644771058335035,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Waste management and disposal,0.01269956227930574,climate_change,kt CO2eq per M.EUR,0.7243365169822867,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Chemical,3.31788734337855,climate_change,kt CO2eq per M.EUR,1.171910747334604,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Coal and Petroleum,0.0004388135454407454,climate_change,kt CO2eq per M.EUR,2.270891531060629,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Construction,0.02429792508072719,climate_change,kt CO2eq per M.EUR,0.6913529008688226,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,"Electrical, electronic and measuring equipment",3.336683017731223,climate_change,kt CO2eq per M.EUR,0.3969244144595145,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Electricity,8.085231569118606e-06,climate_change,kt CO2eq per M.EUR,5.320094637552586,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Food and catering,3.589188643503357,climate_change,kt CO2eq per M.EUR,0.6663580497160082,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Furniture and timber,0.03165578259621965,climate_change,kt CO2eq per M.EUR,1.718961653768504,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,General and special Machinery,0.1914170001593756,climate_change,kt CO2eq per M.EUR,0.4219848194359917,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Metal Products,0.1280180146370904,climate_change,kt CO2eq per M.EUR,0.7623195878971747,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Minerals and Metals,0.05795454471725933,climate_change,kt CO2eq per M.EUR,0.1310519806086973,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Natural gas and gaseous fuels,0.0001116090305898898,climate_change,kt CO2eq per M.EUR,33.91413019601094,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Non-metallic mineral products,0.04430882119718439,climate_change,kt CO2eq per M.EUR,3.715853055057341,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Paper Products,0.06031505659820337,climate_change,kt CO2eq per M.EUR,0.3754878930199141,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Services,1.575052734360133,climate_change,kt CO2eq per M.EUR,0.2065448003841238,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,"Steam, hot water supply and water distribution",3.980090885191916e-07,climate_change,kt CO2eq per M.EUR,100.9298756306842,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Textile,0.1730010605634501,climate_change,kt CO2eq per M.EUR,2.659202613542774,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Transport,0.3945796727059067,climate_change,kt CO2eq per M.EUR,0.8266650463642959,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Transport Equipment,0.03705993087469611,climate_change,kt CO2eq per M.EUR,0.842008193876475,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Bulgaria,Waste management and disposal,0.006708816534188151,climate_change,kt CO2eq per M.EUR,3.610394683163052,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Canada,Chemical,30.55587957634536,climate_change,kt CO2eq per M.EUR,0.8288156191922955,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Canada,Coal and Petroleum,0.5180718745238932,climate_change,kt CO2eq per M.EUR,2.211474151235977,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Canada,Construction,0.08871973179257378,climate_change,kt CO2eq per M.EUR,0.3351101190591186,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Canada,"Electrical, electronic and measuring equipment",11.46563563600075,climate_change,kt CO2eq per M.EUR,0.2551239895875011,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Canada,Electricity,0.03788101628461332,climate_change,kt CO2eq per M.EUR,8.969325125759896,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Canada,Food and catering,21.51818961790033,climate_change,kt CO2eq per M.EUR,0.491961959408656,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Canada,Furniture and timber,0.6236622330911457,climate_change,kt CO2eq per M.EUR,0.8392951125027543,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
