study,consuming_country_iso3,reference_year,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,component_type,ghg_protocol_scope,indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.02693195038531434,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PCAT,Processing of meat cattle,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.03776844601932521,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PPIG,Processing of meat pigs,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.0129187718804759,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PPLT,Processing of meat poultry,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.001920029193755061,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,POME,Production of meat products nec,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.001056043562416136,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,VOIL,Processing vegetable oils and fats,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.002034941669659941,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,DAIR,Processing of dairy products,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.04412027260509781,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,RICE,Processed rice,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.0008271175050670753,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,SUGR,Sugar refining,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.005499494924801586,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OFOD,Processing of Food products nec,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.0918966585807286,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,BEVR,Manufacture of beverages,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.09211399118800935,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FSHP,Manufacture of fish products,Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.004198352382058075,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,TOBC,Manufacture of tobacco products (16),Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,8.878254513856117e-06,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,TEXT,Manufacture of textiles (17),Textile,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.02529141023766513,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),Textile,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.001409962934325214,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Textile,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.0005909698594668059,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,WOOD,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Furniture and timber,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.04981076958384124,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,WOOW,Re-processing of secondary wood material into new wood material,Furniture and timber,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.04468978007518022,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PULP,Pulp,Paper Products,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.05679520938076961,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PAPR,Re-processing of secondary paper into new pulp,Paper Products,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.119533007415364,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
