method,model,consuming_country_iso3,analysis_year,sector_group,value,indicator,unit,layer
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Minerals and Metals,0.07732530191596154,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Natural gas and gaseous fuels,2.6982478256365403,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Non-metallic mineral products,2.408077853206202,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Paper Products,0.5077436197508662,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Services,1.5337989449039735,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,"Steam, hot water supply and water distribution",1.0531136636791971,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Textile,0.2532849494101689,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Transport,11.791642135064613,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Transport Equipment,0.06806952094381546,climate_change,kt CO2eq,6
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Waste management and disposal,0.634962147234513,climate_change,kt CO2eq,6
