indicator,unit,layer,origin,value,share_of_total_pct
material_extraction,kt,11,domestic,0.01611528364096326,0.198819547220974
material_extraction,kt,11,imported,8.08936723365511,99.80118045277904
material_extraction,kt,12,domestic,0.006902326554613438,0.14160172728636547
material_extraction,kt,12,imported,4.867562615991358,99.85839827271363
material_extraction,kt,13,domestic,0.0031732828422853182,0.10796486741915816
material_extraction,kt,13,imported,2.9360076916181392,99.89203513258083
material_extraction,kt,14,domestic,0.0015489569999456582,0.0871713226057597
material_extraction,kt,14,imported,1.7753622491669703,99.91282867739424
material_extraction,kt,15,domestic,0.0007930841374270451,0.07364516938002505
material_extraction,kt,15,imported,1.0761059767290895,99.92635483061997
material_extraction,kt,16,domestic,0.00042141744180057366,0.06442497336021469
material_extraction,kt,16,imported,0.6536998337139164,99.9355750266398
material_extraction,kt,17,domestic,0.00023046835133448958,0.05788900640268942
material_extraction,kt,17,imported,0.3978906355613808,99.94211099359731
material_extraction,kt,18,domestic,0.00012893712877537917,0.053115783296539786
material_extraction,kt,18,imported,0.24261836089286323,99.94688421670347
material_extraction,kt,19,domestic,7.347050981298823e-05,0.04955766979848575
material_extraction,kt,19,imported,0.14817908073349254,99.95044233020151
material_extraction,kt,20,domestic,4.2505129026414174e-05,0.046873972204261476
material_extraction,kt,20,imported,0.09063709172952589,99.95312602779573
waste_generation,kt,0,domestic,79.33738940312945,79.89884730190248
waste_generation,kt,0,imported,19.959899709626423,20.10115269809752
waste_generation,kt,1,domestic,32.50295397290544,45.67698597662927
waste_generation,kt,1,imported,38.655318137114364,54.32301402337074
waste_generation,kt,2,domestic,14.044640317767263,31.97275081930493
waste_generation,kt,2,imported,29.882266056792172,68.02724918069507
waste_generation,kt,3,domestic,3.9223760924087983,18.261122713688096
waste_generation,kt,3,imported,17.557004742531213,81.7388772863119
waste_generation,kt,4,domestic,1.123190846659293,10.39427451369033
waste_generation,kt,4,imported,9.682670064363741,89.60572548630967
waste_generation,kt,5,domestic,0.3213691796635791,5.675091196403918
waste_generation,kt,5,imported,5.3414328536714635,94.32490880359607
waste_generation,kt,6,domestic,0.09425094818172208,3.07619666211639
waste_generation,kt,6,imported,2.9696282030581878,96.9238033378836
waste_generation,kt,7,domestic,0.0284426612577744,1.6719264889430663
waste_generation,kt,7,imported,1.6727482371384141,98.32807351105693
waste_generation,kt,8,domestic,0.008930270900001681,0.9261308655104189
waste_generation,kt,8,imported,0.9553255629750455,99.07386913448958
waste_generation,kt,9,domestic,0.0029549153958913724,0.5318227847242487
waste_generation,kt,9,imported,0.5526653928659111,99.46817721527576
waste_generation,kt,10,domestic,0.001047537169014223,0.32292034990223784
waste_generation,kt,10,imported,0.32334736991298246,99.67707965009775
waste_generation,kt,11,domestic,0.00040352838865521663,0.210838632712639
waste_generation,kt,11,imported,0.1909885250805981,99.78916136728736
waste_generation,kt,12,domestic,0.00016994897387213274,0.14924336485773157
waste_generation,kt,12,imported,0.11370377267140107,99.85075663514226
waste_generation,kt,13,domestic,7.786306407952524e-05,0.11415362583989175
waste_generation,kt,13,imported,0.06813115220516255,99.88584637416011
waste_generation,kt,14,domestic,3.829910346804306e-05,0.09323454785818673
waste_generation,kt,14,imported,0.041039932461828375,99.90676545214181
waste_generation,kt,15,domestic,1.9906676882100394e-05,0.08011607980674675
waste_generation,kt,15,imported,0.02482738606399913,99.91988392019326
waste_generation,kt,16,domestic,1.0781447346443423e-05,0.07147951822556198
waste_generation,kt,16,imported,0.015072486618928578,99.92852048177443
waste_generation,kt,17,domestic,6.01970086399928e-06,0.06555239309396166
waste_generation,kt,17,imported,0.009177017835798842,99.93444760690602
waste_generation,kt,18,domestic,3.4391865440225687e-06,0.06136327737728663
waste_generation,kt,18,imported,0.005601193895351257,99.9386367226227
waste_generation,kt,19,domestic,2.0002819493191694e-06,0.05835338349499257
waste_generation,kt,19,imported,0.0034258762686723222,99.941646616505
waste_generation,kt,20,domestic,1.1802550117337843e-06,0.056189651820277055
waste_generation,kt,20,imported,0.0020993043956296993,99.94381034817972
