scope,consuming_country_iso3,model,analysis_year,indicator,unit,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWT,Transmission of electricity,Electricity,5.9146368405690265e-05
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWD,Distribution and trade of electricity,Electricity,0.00011842009531382149
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_GASD,Manufacture of gas; distribution of gaseous fuels through mains,Natural gas and gaseous fuels,7.21802595662122
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",3.2328342282825857
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_WATR,"Collection, purification and distribution of water (41)","Steam, hot water supply and water distribution",0.022586504978982118
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_CONS,Construction (45),Construction,0.8608671281937951
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TDMO,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Services,0.035110344761646775
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TDFU,Retail sale of automotive fuel,Services,0.0007682858633730044
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TDWH,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",Services,0.5813395787131486
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TDRT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",Services,0.4463184990995555
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_HORE,Hotels and restaurants (55),Food and catering,0.6511063672848972
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TRAI,Transport via railways,Transport,0.8971888827917731
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TLND,Other land transport,Transport,3.8568374941071903
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TPIP,Transport via pipelines,Transport,0.3901697240386355
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TWAS,Sea and coastal water transport,Transport,0.031535536656020526
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TWAI,Inland water transport,Transport,0.04824286167581545
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TAIR,Air transport (62),Transport,3.4111420915930992
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_TAUX,Supporting and auxiliary transport activities; activities of travel agencies (63),Services,0.08208270917786374
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_PTEL,Post and telecommunications (64),Services,0.01972735922919047
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_FINT,"Financial intermediation, except insurance and pension funding (65)",Services,0.11495806452822512
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_FINS,"Insurance and pension funding, except compulsory social security (66)",Services,0.019517739022504005
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_FAUX,Activities auxiliary to financial intermediation (67),Services,0.018544199542626625
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_REAL,Real estate activities (70),Services,0.31887121060981943
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_MARE,Renting of machinery and equipment without operator and of personal and household goods (71),Services,0.1487383796223507
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_COMP,Computer and related activities (72),Services,0.1605780185382496
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_RESD,Research and development (73),Services,0.23635027741525036
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_OBUS,Other business activities (74),Services,0.2805833018461557
