scope,consuming_country_iso3,model,analysis_year,indicator,unit,sector_code,sector_name,sector_group,national,healthcare,healthcare_vs_sector_ratio_pct,sector_share_of_national_pct
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_NIKO,Mining of nickel ores and concentrates,Minerals and Metals,1.37009653744201,0.0021691374086866247,0.158320041647316,0.0022828892205832983
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_NUCF,Processing of nuclear fuel,Chemical,125.75976014453781,2.8281603415855693e-05,2.2488595225810842e-05,0.20954406713056742
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OANP,Animal products nec,Food and catering,6.542367240016178,0.025305853583759773,0.3867996499642719,0.010901056415495387
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OBUS,Other business activities (74),Services,154.24770705659256,70.80950309761069,45.90635702067915,0.25701139891691
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OCER,Cultivation of cereal grains nec,Food and catering,158.85928993694935,14.831486985958602,9.336241520307162,0.2646953339971697
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OFMA,Manufacture of office machinery and computers (30),General and special Machinery,134.78931637139544,0.36268162041069607,0.2690729726763888,0.22458934022893587
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OFOD,Processing of Food products nec,Food and catering,2966.25193738819,35.74479386419797,1.2050491535682424,4.9424433887268595
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OGPL,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Natural gas and gaseous fuels,0.8651964964417956,0.06295386197541321,7.276250219957785,0.0014416121064731986
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OILS,Cultivation of oil seeds,Food and catering,149.5980414734469,2.649790658244825,1.7712736290836757,0.2492640094819304
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OMEA,Meat animals nec,Food and catering,35.40667696682728,0.14990102721648632,0.4233693756602165,0.058995493365128
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ONFM,Other non-ferrous metal production,Metal Products,2.8339700140508057,0.023500563216657673,0.8292453025311498,0.004722031929671025
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ONFO,Mining of other non-ferrous metal ores and concentrates,Minerals and Metals,0.04352927827413532,0.00117640020123573,2.7025492906799142,7.25295754248998e-05
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ONFW,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,Metal Products,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ONMM,Manufacture of other non-metallic mineral products n.e.c.,Non-metallic mineral products,211.42373380718232,0.0937318025557197,0.0443336236986538,0.3522795289921809
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ORAN,Mining of uranium and thorium ores (12),Minerals and Metals,0.004931314263061048,7.082137446055835e-05,1.4361561783044208,8.21667953082264e-06
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ORGA,Activities of membership organisation n.e.c. (91),Services,503.35639210189424,0.9041101401083266,0.17961630254321037,0.8387050475921307
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OSER,Other service activities (93),Services,329.86638501755885,25.109363179738605,7.6119799774087396,0.5496316456614929
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OTCR,Cultivation of crops nec,Food and catering,28.013414017276304,0.26855621320915624,0.9586700608627478,0.04667665317304981
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_OTRE,Manufacture of other transport equipment (35),Transport Equipment,573.3835669595073,0.1045673424789191,0.018236892109310086,0.9553860830239957
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_PADF,Public administration and defence; compulsory social security (75),Services,690.138700861495,8.133890872115167,1.1785878493644382,1.149926416021435
